line,level,rule
22,error,DL4000
26,error,DL3031
29,warning,DL3032
29,warning,DL3033
31,warning,SC2164
31,warning,DL3003
38,warning,SC2164
38,warning,DL3003
38,warning,DL4006
47,warning,DL3032
50,warning,DL3032
50,warning,DL3033
53,warning,DL3032
56,warning,DL3028
56,warning,DL3032
56,warning,DL3033
60,warning,DL3032
60,warning,DL3033
63,warning,DL3032
66,warning,DL3032
66,warning,DL3033
69,warning,DL3032
72,warning,DL3032
75,warning,DL4006
83,warning,DL3032
86,warning,SC2164
86,warning,DL3003
86,warning,DL3032
